Rank,Word,Count
1,beer,8692
2,head,6471
3,s,6144
4,taste,5652
5,chocolate,4784
6,like,4405
7,dark,4347
8,sweet,4075
9,orange,4059
10,coffee,3952
11,good,3625
12,t,3569
13,nice,3450
14,notes,3422
15,bourbon,3357
16,medium,3240
17,nose,3230
18,light,3102
19,finish,3081
20,aroma,3073
21,citrus,3059
22,carbonation,2990
23,vanilla,2952
24,white,2861
25,overall,2820
26,body,2791
27,flavor,2790
28,fruit,2790
29,pours,2782
30,lacing,2781
31,bit,2707
32,glass,2660
33,mouthfeel,2589
34,black,2541
35,smooth,2540
36,great,2523
37,malt,2423
38,bitterness,2415
39,thick,2373
40,feel,2325
41,bottle,2253
42,smell,2244
43,creamy,2181
44,little,2173
45,brown,2164
46,flavors,2077
47,stout,2024
48,color,1990
49,barrel,1981
50,grapefruit,1978
51,hop,1967
52,tropical,1950
53,bitter,1929
54,mango,1890
55,poured,1878
56,hazy,1874
57,pineapple,1864
58,hops,1838
59,sweetness,1820
60,maple,1802
61,4,1703
62,oak,1634
63,dry,1628
64,caramel,1606
65,ipa,1583
66,rich,1550
67,alcohol,1536
68,balanced,1500
69,big,1442
70,best,1429
71,pine,1402
72,m,1354
73,abv,1347
74,bodied,1342
75,palate,1323
76,slightly,1308
77,juicy,1261
78,strong,1248
79,time,1234
80,5,1227
81,finger,1196
82,hint,1166
83,o,1162
84,juice,1144
85,soft,1140
86,pour,1123
87,it’s,1123
88,drink,1116
89,moderate,1083
90,slight,1081
91,balance,1081
92,way,1064
93,beers,1059
94,peach,1057
95,dank,1049
96,retention,1047
97,fresh,1046
98,excellent,1032
99,roasted,1020
100,yellow,1016
101,thin,1012
102,touch,992
103,style,992
104,ve,989
105,pretty,988
106,look,985
107,complex,984
108,2,977
109,better,973
110,end,970
111,definitely,961
112,heavy,958
113,coconut,940
114,perfect,937
115,smells,934
116,mouth,929
117,lemon,918
118,malts,913
119,tan,911
120,cinnamon,908
121,aromas,904
122,brew,897
123,sugar,886
124,super,883
125,fruits,863
126,deep,857
127,fruity,843
128,golden,841
129,foam,839
130,sticky,830
131,lots,827
132,try,812
133,follows,810
134,think,809
135,12,809
136,3,808
137,appearance,807
138,molasses,806
139,boozy,805
140,earthy,798
141,sip,794
142,long,794
143,floral,789
144,high,787
145,1,787
146,syrup,786
147,delicious,786
148,quickly,784
149,mild,781
150,green,769
151,lot,763
152,opaque,758
153,hoppy,749
154,f,740
155,tangerine,735
156,house,734
157,tree,730
158,pale,725
159,amazing,722
160,oz,721
161,8,716
162,fudge,707
163,bright,701
164,tastes,699
165,character,692
166,10,679
167,maybe,676
168,wine,674
169,toffee,673
170,canned,671
171,drinking,670
172,old,669
173,tart,664
174,roast,662
175,easy,660
176,love,660
177,right,652
178,leaves,650
179,aged,648
180,l,641
181,solid,637
182,20,637
183,profile,627
184,milk,626
185,hints,625
186,world,619
187,huge,616
188,stouts,614
189,note,614
190,small,613
191,fantastic,611
192,finishes,609
193,cocoa,600
194,expected,600
195,years,595
196,hype,594
197,melon,591
198,subtle,585
199,low,585
200,vintage,582
201,lingering,581
202,funk,581
203,sour,579
204,16,574
205,fluffy,570
206,comes,567
207,sure,566
208,booze,560
209,19,560
210,forward,556
211,worth,543
212,snifter,542
213,got,539
214,tongue,536
215,6,536
216,gold,536
217,aftertaste,535
218,drinkable,534
219,tulip,532
220,heat,524
221,ale,524
222,beautiful,522
223,clean,521
224,2019,521
225,find,520
226,11,518
227,don,516
228,favorite,516
229,cherry,515
230,warms,507
231,bite,505
232,cap,505
233,2020,504
234,clear,504
235,going,500
236,looks,496
237,–,496
238,half,495
239,ring,493
240,piney,493
241,malty,484
242,colored,478
243,red,474
244,i’m,471
245,apricot,471
246,base,467
247,dense,464
248,class,464
249,herbal,464
250,presence,462
251,crisp,462
252,imperial,461
253,brewery,461
254,cloudy,461
255,fairly,460
256,toasted,458
257,22,458
258,review,453
259,absolutely,450
260,tasty,448
261,papaya,448
262,minimal,443
263,nicely,443
264,tap,442
265,spice,442
266,roasty,442
267,ripe,435
268,pint,433
269,7,432
270,wow,431
271,wonderful,430
272,25,430
273,d,429
274,amber,429
275,present,428
276,makes,428
277,blend,426
278,julius,426
279,day,425
280,21,424
281,new,422
282,come,422
283,neipa,422
284,foamy,420
285,fine,418
286,ipas,418
287,date,415
288,oily,414
289,thing,412
290,cream,412
291,fingers,410
292,similar,408
293,hard,405
294,leaving,405
295,version,404
296,ba,403
297,warming,403
298,spicy,402
299,mocha,402
300,know,402
301,probably,401
302,pepper,401
303,licorice,399
304,tasting,399
305,doesn,399
306,experience,397
307,year,395
308,honey,393
309,haze,392
310,burn,391
311,followed,390
312,slowly,388
313,incredible,387
314,complexity,386
315,citra,386
316,lingers,384
317,frothy,384
318,yeast,383
319,looking,382
320,enjoyable,380
321,outstanding,380
322,grassy,379
323,pleasant,378
324,i’ve,378
325,away,373
326,2018,371
327,intense,370
328,fades,369
329,lace,367
330,decent,366
331,want,366
332,tried,365
333,drank,364
334,double,364
335,kbs,364
336,resin,362
337,burnt,361
338,silky,360
339,rind,357
340,bread,356
341,9,355
342,king,353
343,zest,353
344,dipa,352
345,bubbles,350
346,brings,348
347,finally,347
348,espresso,347
349,lightly,347
350,plenty,346
351,getting,346
352,bomb,345
353,wood,344
354,perfectly,341
355,enjoyed,340
356,faint,340
357,glad,338
358,bottled,338
359,overly,337
360,peel,337
361,stone,337
362,extremely,336
363,grass,334
364,actually,332
365,bready,332
366,mix,332
367,classic,332
368,citrusy,331
369,char,330
370,enjoy,328
371,served,327
372,level,326
373,real,324
374,resinous,322
375,inch,321
376,bold,318
377,2021,318
378,left,317
379,highly,317
380,tons,315
381,truly,314
382,quality,313
383,dated,311
384,lime,310
385,raisin,309
386,certainly,309
387,acidity,309
388,incredibly,306
389,somewhat,306
390,sharp,306
391,murky,306
392,tobacco,305
393,nearly,305
394,average,305
395,16oz,305
396,far,303
397,middle,303
398,lighter,303
399,apple,302
400,kind,301
401,warm,300
402,refreshing,300
403,different,298
404,pitch,296
405,leather,296
406,chewy,295
407,dissipates,295
408,hot,294
409,grape,294
410,oil,292
411,near,292
412,thanks,291
413,viscous,291
414,syrupy,290
415,background,290
416,isn,289
417,dried,287
418,raisins,283
419,texture,283
420,funky,281
421,goes,280
422,point,278
423,heady,278
424,hidden,278
425,guava,277
426,stuff,276
427,feels,275
428,damn,273
429,2022,272
430,awesome,271
431,coast,268
432,surprisingly,267
433,days,267
434,semi,266
435,pack,266
436,ago,263
437,warmth,262
438,short,261
439,coming,260
440,hit,259
441,gets,259
442,jet,258
443,tasted,257
444,candy,257
445,slick,257
446,liquid,256
447,straw,256
448,price,255
449,start,255
450,carbonated,255
451,prefer,253
452,treehouse,253
453,found,252
454,15,252
455,pith,252
456,depth,251
457,carb,249
458,cherries,248
459,th,248
460,didn,247
461,batch,247
462,consumed,247
463,dankness,246
464,west,245
465,buy,245
466,18,244
467,ll,242
468,close,241
469,hits,240
470,velvety,239
471,noticeable,239
472,swallow,237
473,rating,237
474,given,232
475,regular,232
476,release,231
477,said,230
478,dessert,229
479,coating,229
480,backbone,228
481,whiskey,227
482,gentle,227
483,cloying,226
484,tartness,226
485,starts,225
486,having,225
487,things,224
488,barrels,223
489,12oz,223
490,let,222
491,there’s,221
492,bad,221
493,sweeter,221
494,especially,221
495,moderately,221
496,flavorful,220
497,thought,219
498,large,218
499,candied,218
500,second,217
501,ne,217
